pase, false, 7, 0, 1:1
pase, false, 11, 0, 1:1
pase, false, 2, 0, PERDIO
pase, false, 3, 0, PERDIO
pase, false, 12, 0, PERDIO
pase, true, 4, 4, 1:1
pase, true, 5, 5, 1:1
pase, true, 6, 6, 1:1
pase, true, 8, 8, 1:1
pase, true, 9, 9, 1:1
pase, true, 10, 10, 1:1
pase, true, 7, 4, PERDIO
pase, true, 7, 5, PERDIO
pase, true, 7, 6, PERDIO
pase, true, 7, 8, PERDIO
pase, true, 7, 9, PERDIO
pase, true, 7, 10, PERDIO
nopase, false, 2, 0, 1:1
nopase, false, 3, 0, 1:1
nopase, false, 7, 0, PERDIO
nopase, false, 11, 0, PERDIO
nopase, false, 12, 0, 1:0
nopase, true, 4, 4, PERDIO
nopase, true, 5, 5, PERDIO
nopase, true, 6, 6, PERDIO
nopase, true, 8, 8, PERDIO
nopase, true, 9, 9, PERDIO
nopase, true, 10, 10, PERDIO
nopase, true, 7, 4, 1:1
nopase, true, 7, 5, 1:1
nopase, true, 7, 6, 1:1
nopase, true, 7, 8, 1:1
nopase, true, 7, 9, 1:1
nopase, true, 7, 10, 1:1
venir, true, 7, 0, 1:1
venir, true, 11, 0, 1:1
venir, true, 2, 0, PERDIO
venir, true, 3, 0, PERDIO
venir, true, 12, 0, PERDIO
venir, bottom, 4, 4, 1:1
venir, bottom, 5, 5, 1:1
venir, bottom, 6, 6, 1:1
venir, bottom, 8, 8, 1:1
venir, bottom, 9, 9, 1:1
venir, bottom, 10, 10, 1:1
venir, bottom, 7, 4, PERDIO
venir, bottom, 7, 5, PERDIO
venir, bottom, 7, 6, PERDIO
venir, bottom, 7, 8, PERDIO
venir, bottom, 7, 9, PERDIO
venir, bottom, 7, 10, PERDIO
novenir, true, 2, 0, 1:1
novenir, true, 3, 0, 1:1
novenir, true, 7, 0, PERDIO
novenir, true, 11, 0, PERDIO
novenir, true, 12, 0, 1:0
novenir, bottom, 4, 4, PERDIO
novenir, bottom, 5, 5, PERDIO
novenir, bottom, 6, 6, PERDIO
novenir, bottom, 8, 8, PERDIO
novenir, bottom, 9, 9, PERDIO
novenir, bottom, 10, 10, PERDIO
novenir, bottom, 7, 4, 1:1
novenir, bottom, 7, 5, 1:1
novenir, bottom, 7, 6, 1:1
novenir, bottom, 7, 8, 1:1
novenir, bottom, 7, 9, 1:1
novenir, bottom, 7, 10, 1:1
campo, botom, 2, 0, 2:1
campo, botom, 3, 0, 1:1
campo, botom, 4, 0, 1:1
campo, botom, 9, 0, 1:1
campo, botom, 10, 0, 1:1
campo, botom, 11, 0, 1:1
campo, botom, 12, 0, 2:1
campo, botom, 5, 0, PERDIO
campo, botom, 6, 0, PERDIO
campo, botom, 7, 0, PERDIO
campo, botom, 8, 0, PERDIO
ganar, botom, 4, 4, 9:5
ganar, botom, 5, 5, 7:5
ganar, botom, 6, 6, 7:6
ganar, botom, 8, 8, 7:6
ganar, botom, 9, 9, 7:5
ganar, botom, 10, 10, 9:5
ganar, botom, 7, 4, PERDIO
ganar, botom, 7, 5, PERDIO
ganar, botom, 7, 6, PERDIO
ganar, botom, 7, 8, PERDIO
ganar, botom, 7, 9, PERDIO
ganar, botom, 7, 10, PERDIO
encontra, botom, 7, 4, 5:11
encontra, botom, 7, 5, 5:8
encontra, botom, 7, 6, 4:5
encontra, botom, 7, 8, 4:5
encontra, botom, 7, 9, 5:8
encontra, botom, 7, 10, 5:11
encontra, botom, 4, 4, PERDIO
encontra, botom, 5, 5, PERDIO
encontra, botom, 6, 6, PERDIO
encontra, botom, 8, 8, PERDIO
encontra, botom, 9, 9, PERDIO
encontra, botom, 10, 10, PERDIO
